NewColumn.Index	Attribute	Value
Guid45	ChartId	chartId_1386332019542_0.80366324661031
Guid45	vers	v2
Guid46	anonIP	ip36
Guid46	ChartId	chartId_1386468432382_0.43109248658447263
Guid46	vers	v2
Guid47	anonIP	ip36
Guid47	ChartId	chartId_1386468746257_0.42399018429349316
Guid47	vers	v2
Guid48	anonIP	ip36
Guid48	ChartId	chartId_1386468895761_0.512403723348005
Guid48	vers	v2
Guid52	anonIP	ip36
Guid52	ChartId	chartId_1386469752691_0.38639996608891075
Guid52	vers	v2
Guid49	anonIP	ip37
Guid49	ChartId	chartId_1386469087790_0.9051428520073023
Guid49	vers	v2
Guid50	anonIP	ip37
Guid50	ChartId	chartId_1386469183534_0.3848282851833947
Guid50	vers	v2
Guid51	anonIP	ip37
Guid51	ChartId	chartId_1386469287128_0.6460561741866939
Guid51	vers	v2
Guid53	anonIP	ip37
Guid53	ChartId	chartId_1386471667558_0.17731449952781208
Guid53	vers	v2
Guid54	anonIP	ip38
Guid54	ChartId	chartId_1386475324112_0.2557002318200416
Guid54	vers	v2
Guid55	anonIP	ip39
Guid55	ChartId	chartId_1386482838162_0.31333921345327564
Guid55	vers	v2
Guid56	anonIP	ip39
Guid56	ChartId	chartId_1386483065778_0.27953658025739614
Guid56	vers	v2
Guid57	anonIP	ip40
Guid57	ChartId	chartId_1389139570776_0.40658282143615104
Guid57	vers	v2
Guid58	anonIP	ip41
Guid58	ChartId	chartId_1389141619214_0.34376874415131803
Guid58	vers	v2
Guid62	anonIP	ip41
Guid62	ChartId	chartId_1389146002791_0.16600669176740695
Guid62	vers	v2
Guid63	anonIP	ip41
Guid63	ChartId	chartId_1389146048918_0.14662930540395275
Guid63	vers	v2
Guid59	anonIP	ip42
Guid59	ChartId	chartId_1387370743235_0.25810725690883596
Guid59	vers	v2
Guid60	anonIP	ip43
Guid60	ChartId	chartId_1389080652749_0.3291432570188494
Guid60	vers	v2
Guid66	anonIP	ip43
Guid66	ChartId	chartId_1389160410150_0.45681101205774577
Guid66	vers	v2
Guid67	anonIP	ip43
Guid67	ChartId	chartId_1389160626068_0.10187891429991619
Guid67	vers	v2
Guid68	anonIP	ip43
Guid68	ChartId	chartId_1389160860308_0.9447098517609378
